id;town;street;house
1;с. Кош-Агач; алл. Октябрьская;336
2;с. Элиста; пр. Горького;112
3;ст. Кудымкар; ул. Бабушкина;287
4;клх Сусуман; ш. Главное;363
5;клх Карпинск; ул. Революции;312
6;клх Кежма; пер. Амурский;271
7;г. Томск; пр. Социалистический;92
8;с. Кашхатау; ул. Олега Кошевого;306
9;п. Хабаровск; пер. Водопроводный;354
10;с. Гудермес; пр. Парковый;137
11;с. Уварово; алл. Свердлова;330
12;д. Сузун; наб. Мичурина;345
13;ст. Сеймчан; алл. Новостройка;141
14;клх Когалым; пр. Торговый;301
15;г. Нальчик; бул. Советский;15
16;клх Токсово; ул. Просвещения;168
17;с. Верхотурье; алл. Озерная;248
18;д. Волгодонск; ш. Мирное;334
19;к. Владикавказ; наб. Монтажников;366
20;клх Серафимович; пер. Малый;330
21;клх Тарко-Сале; наб. Коммуны;84
22;д. Мытищи; ул. Цветочная;28
23;г. Магнитогорск; ул. Веселая;374
24;д. Учалы; ш. Тюленина;292
25;ст. Таштагол; пр. Льва Толстого;339
26;клх Псков; ул. Репина;23
27;клх Терней; пер. Щербакова;80
28;к. Кемерово; алл. Киевская;215
29;к. Усмань; ш. Покровское;351
30;с. Рыбинск; пр. Мелиоративный;107
31;д. Нурлат; алл. Черноморская;70
32;с. Темрюк; пр. Киевский;308
33;ст. Алапаевск; ш. Ручейное;45
34;п. Таштагол; ул. Дальневосточная;200
35;с. Когалым; бул. Геологический;42
36;клх Нижний Тагил; бул. Тополиный;56
37;ст. Аргаяш; ул. Рябиновая;350
38;с. Сорочинск; ш. Бульварное;303
39;к. Бодайбо; пер. Юности;108
40;ст. Адлер; алл. Широкая;386
41;к. Печора; ш. Смирнова;259
42;п. Зарайск; ул. Карла Либкнехта;300
43;ст. Куртамыш; алл. Фестивальная;160
44;г. Тырныауз; пр. Гагарина;313
45;ст. Каргополь; ш. Гражданское;162
46;г. Кириши; пр. Союзный;352
47;г. Магадан; ул. Маркса;24
48;г. Казань; пер. Березовый;286
49;клх Люберцы; наб. Верхняя;147
50;к. Урай; пер. Суворова;69
51;к. Чермоз; ш. Инженерное;333
52;ст. Новгород Великий; бул. Покровский;237
53;ст. Фатеж; наб. Халтурина;57
54;ст. Карачаевск; алл. Чернышевского;131
55;п. Элиста; ш. Водопроводное;147
56;д. Югорск; ш. Среднее;284
57;ст. Азов (Рост.); наб. Бульварная;205
58;клх Мичуринск; ул. Аэродромная;90
59;с. Комсомольск-на-Амуре; наб. Мостовая;125
60;г. Чита; пр. Чайковского;262
61;п. Макушино; алл. Уральская;210
62;к. Билибино; алл. Щербакова;336
63;г. Эльтон; бул. К.Маркса;254
64;к. Уренгой; пр. Октября;307
65;с. Асбест; пер. Крайний;375
66;к. Тура; пер. Ореховый;203
67;д. Александровск-Сахалинский; ш. Больничное;225
68;п. Ивдель; наб. Выгонная;259
69;ст. Морозовск; пр. Орджоникидзе;19
70;ст. Онега; пр. Березовый;166
71;п. Юрьев-Польский; ш. Тургенева;255
72;к. Норильск; бул. Дальневосточный;95
73;п. Ноглики; наб. Котовского;107
74;ст. Лабытнанги; пер. Войкова;114
75;ст. Рославль; алл. Огородная;209
76;к. Воскресенск; алл. Новосельская;398
77;п. Усть-Ордынский; ул. Высокая;17
78;п. Орск; ул. Васильковая;19
79;ст. Магнитогорск; алл. Карла Либкнехта;82
80;с. Нефтекамск; пр. Терешковой;389
81;ст. Югорск; ул. Северная;334
82;клх Радужный; ул. Солнечная;206
83;ст. Руза; алл. Ушакова;118
84;ст. Оса; ул. Фурманова;91
85;к. Карачаевск; ул. Тамбовская;374
86;г. Тулун; бул. Чернышевского;225
87;клх Санкт-Петербург; ш. Калинина;129
88;к. Джубга; пер. Виноградный;128
89;клх Пышма; ш. Ударное;59
90;г. Советский; ш. Малое;143
91;клх Плес; наб. Смоленская;179
92;к. Когалым; наб. Трактовая;266
93;ст. Кингисепп; ул. Сосновая;170
94;г. Моздок; ул. Луговая;210
95;п. Уфа; наб. Санаторная;321
96;ст. Бузулук; бул. Запрудный;51
97;ст. Яр-Сале; ул. Чкалова;100
98;с. Далматово; алл. Геологическая;323
99;с. Оренбург; ш. Горное;220
100;ст. Домодедово; наб. Отрадная;353
101;г. Бодайбо; пер. Карьерный;350
102;г. Кунгур; алл. Черноморская;232
103;д. Уренгой; пер. Северный;134
104;к. Буйнакск; пр. Партизанский;275
105;с. Северодвинск; ш. Некрасова;348
106;г. Апшеронск; пр. Урожайный;94
107;клх Камень-на-Оби; пер. Гастелло;173
108;к. Шереметьево; алл. Герцена;124
109;к. Тутаев; ш. Тракторное;311
110;к. Ноглики; пр. Ватутина;347
111;г. Омск; бул. Лесный;156
112;к. Дмитров; бул. Рябиновый;66
113;г. Катав-Ивановск; бул. Макарова;214
114;ст. Адлер; наб. Слободская;104
115;с. Россошь; пер. Титова;78
116;г. Ачинск; бул. Санаторный;102
117;д. Воскресенск; ул. Островского;352
118;с. Шаховская; пр. Высокий;182
119;ст. Снежногорск (Мурм.); алл. Щорса;191
120;г. Каневская; ул. Королева;150
121;к. Ишим; алл. Радищева;98
122;г. Неплюевка; пер. Ленина;399
123;клх Ногинск (Моск.); ул. Торговая;185
124;д. Оймякон; ул. Вольная;70
125;клх Борзя; пер. Иркутский;293
126;с. Руза; ш. Спартака;96
127;д. Поярково; ул. Шишкина;40
128;с. Курчатов; ш. Сенное;57
129;с. Шарья; алл. Мостовая;150
130;ст. Елатьма; пр. Транспортный;26
131;г. Мезень; ш. Семашко;297
132;с. Оленек; пр. Путейский;377
133;д. Ростов-на-Дону; бул. Малый;145
134;д. Назрань; пр. Осенний;344
135;п. Грозный; пр. Иркутский;145
136;г. Чулым; ш. Крылова;265
137;д. Касимов; бул. Южный;290
138;д. Валдай; ул. Новгородская;389
139;к. Балтийск; пр. Советский;320
140;д. Стрежевой; наб. Чайкиной;23
141;к. Сосногорск; бул. Моховой;132
142;с. Всеволожск; наб. Фабричная;53
143;клх Подольск; пер. Ольховый;256
144;п. Сладково; пр. Воронежский;152
145;г. Верещагино (Перм.); пер. Сенной;309
146;с. Братск; ш. Юности;396
147;п. Минеральные Воды; наб. Юбилейная;124
148;д. Ростов; пер. Радищева;310
149;к. Одинцово; ул. Транспортная;145
150;д. Бирск; бул. Кольцевой;338
151;д. Учалы; пер. Центральный;249
152;клх Кизляр; наб. Речная;115
153;с. Волоколамск; пр. Народный;361
154;клх Луховицы; пер. Рабочий;77
155;к. Орск; ул. Владимирская;212
156;г. Воронеж; ул. Короткая;368
157;п. Красная Поляна; пер. Карбышева;299
158;д. Чокурдах; пер. Терешковой;310
159;г. Сузун; ул. Металлургов;314
160;д. Вытегра; ул. Центральная;49
161;к. Каменск-Уральский; бул. 40 лет Октября;349
162;с. Ростов; наб. Пугачева;301
163;клх Руза; пер. Пугачева;109
164;с. Челюскин; ул. Свободы;130
165;с. Канск; бул. Лесозаводский;79
166;п. Гремячинск (Бурят.); алл. Степная;22
167;ст. Мокшан; пр. Азина;261
168;с. Ступино; наб. Огородная;320
169;д. Баксан; бул. Вокзальный;168
170;к. Жуковский; пр. Песочный;127
171;г. Ребриха; пр. Ростовский;222
172;клх Приозерск; ул. Луначарского;346
173;с. Нефтегорск (Самар.); ул. Ключевая;117
174;д. Камень-на-Оби; алл. Энгельса;175
175;ст. Иваново; бул. Астраханский;186
176;п. Ельня; ул. Карбышева;357
177;ст. Моздок; ш. Репина;250
178;клх Арсеньев; пр. Колхозный;67
179;п. Краснодар; пр. Средний;116
180;п. Шерегеш; бул. 40 лет Победы;234
181;клх Елатьма; наб. Космонавтов;75
182;ст. Биробиджан; пр. Лесный;375
183;п. Архыз; пер. Дружбы;370
184;с. Змеиногорск; пер. Загородный;61
185;д. Северодвинск; наб. Песочная;52
186;к. Новомосковск; ул. Ивановская;294
187;клх Оленек; наб. Портовая;181
188;с. Тарко-Сале; пер. Пушкина;37
189;г. Аша; алл. Лунная;281
190;к. Братск; ул. Макаренко;204
191;д. Великие Луки; пр. Таежный;354
192;г. Боровск; пер. Макарова;360
193;клх Нарткала; ш. Трактовое;102
194;ст. Мезень; пер. Прудовой;328
195;клх Чокурдах; пр. Чайковского;317
196;п. Йошкар-Ола; ул. Павлова;258
197;п. Добрянка; пер. Ленинский;171
198;п. Валдай; пр. Орджоникидзе;347
199;с. Азов (Рост.); алл. Ольховая;155
200;ст. Нефтегорск (Самар.); ш. Л.Толстого;38
201;к. Владикавказ; алл. Кошевого;136
202;г. Токсово; ул. Кубанская;226
203;к. Пушкино (Моск.); ул. Союзная;213
204;с. Каневская; алл. Невского;317
205;с. Соль-Илецк; пер. Комарова;352
206;с. Кировск (Ленин.); бул. Свободный;280
207;ст. Усть-Камчатск; алл. Луначарского;200
208;д. Рубцовск; наб. Павлова;261
209;д. Щелково; ш. Володарского;256
210;ст. Балашов; ул. Пограничная;342
211;г. Петрозаводск; наб. Матросова;183
212;д. Анива; пр. Бабушкина;363
213;с. Бугульма; ул. Чкалова;40
214;г. Петухово; ул. Пушкинская;99
215;д. Ирбит; бул. Парижской Коммуны;217
216;ст. Семлячики; наб. Морская;273
217;с. Курчатов; бул. Зеленый;190
