id;id_school;grade;letter
1;732;1;A
2;732;2;A
3;732;2;B
4;732;3;A
5;732;4;A
6;732;4;B
7;732;4;C
8;732;5;A
9;732;5;B
10;732;5;C
11;732;6;A
12;732;7;A
13;732;7;B
14;732;7;C
15;732;8;A
16;732;8;B
17;732;9;A
18;732;9;B
19;732;10;A
20;732;11;A
21;732;11;B
22;152;1;A
23;152;2;A
24;152;2;B
25;152;3;A
26;152;3;B
27;152;3;C
28;152;4;A
29;152;4;B
30;152;4;C
31;152;5;A
32;152;5;B
33;152;5;C
34;152;6;A
35;152;7;A
36;152;7;B
37;152;7;C
38;152;8;A
39;152;8;B
40;152;9;A
41;152;10;A
42;152;10;B
43;152;11;A
44;152;11;B
45;152;11;C
46;727;1;A
47;727;1;B
48;727;2;A
49;727;2;B
50;727;2;C
51;727;3;A
52;727;3;B
53;727;3;C
54;727;4;A
55;727;5;A
56;727;5;B
57;727;6;A
58;727;6;B
59;727;7;A
60;727;7;B
61;727;7;C
62;727;8;A
63;727;9;A
64;727;10;A
65;727;11;A
66;624;1;A
67;624;1;B
68;624;2;A
69;624;2;B
70;624;2;C
71;624;3;A
72;624;3;B
73;624;3;C
74;624;4;A
75;624;5;A
76;624;5;B
77;624;5;C
78;624;6;A
79;624;6;B
80;624;7;A
81;624;7;B
82;624;7;C
83;624;8;A
84;624;9;A
85;624;9;B
86;624;9;C
87;624;10;A
88;624;11;A
89;624;11;B
90;624;11;C
91;905;1;A
92;905;1;B
93;905;1;C
94;905;2;A
95;905;2;B
96;905;3;A
97;905;3;B
98;905;4;A
99;905;4;B
100;905;4;C
101;905;5;A
102;905;5;B
103;905;6;A
104;905;6;B
105;905;7;A
106;905;7;B
107;905;7;C
108;905;8;A
109;905;8;B
110;905;9;A
111;905;9;B
112;905;10;A
113;905;10;B
114;905;10;C
115;905;11;A
116;684;1;A
117;684;2;A
118;684;2;B
119;684;3;A
120;684;4;A
121;684;4;B
122;684;4;C
123;684;5;A
124;684;5;B
125;684;5;C
126;684;6;A
127;684;6;B
128;684;7;A
129;684;8;A
130;684;8;B
131;684;9;A
132;684;10;A
133;684;10;B
134;684;10;C
135;684;11;A
136;684;11;B
137;136;1;A
138;136;1;B
139;136;2;A
140;136;2;B
141;136;2;C
142;136;3;A
143;136;3;B
144;136;3;C
145;136;4;A
146;136;4;B
147;136;5;A
148;136;5;B
149;136;6;A
150;136;7;A
151;136;7;B
152;136;8;A
153;136;8;B
154;136;8;C
155;136;9;A
156;136;9;B
157;136;9;C
158;136;10;A
159;136;10;B
160;136;10;C
161;136;11;A
162;136;11;B
163;343;1;A
164;343;2;A
165;343;3;A
166;343;4;A
167;343;4;B
168;343;5;A
169;343;6;A
170;343;6;B
171;343;6;C
172;343;7;A
173;343;8;A
174;343;8;B
175;343;9;A
176;343;10;A
177;343;11;A
178;343;11;B
179;343;11;C
180;703;1;A
181;703;1;B
182;703;2;A
183;703;2;B
184;703;2;C
185;703;3;A
186;703;3;B
187;703;3;C
188;703;4;A
189;703;4;B
190;703;5;A
191;703;5;B
192;703;5;C
193;703;6;A
194;703;6;B
195;703;7;A
196;703;8;A
197;703;8;B
198;703;8;C
199;703;9;A
200;703;10;A
201;703;10;B
202;703;11;A
203;703;11;B
204;703;11;C
205;664;1;A
206;664;2;A
207;664;3;A
208;664;4;A
209;664;5;A
210;664;6;A
211;664;6;B
212;664;6;C
213;664;7;A
214;664;7;B
215;664;8;A
216;664;8;B
217;664;8;C
218;664;9;A
219;664;9;B
220;664;9;C
221;664;10;A
222;664;10;B
223;664;10;C
224;664;11;A
225;664;11;B
226;74;1;A
227;74;1;B
228;74;1;C
229;74;2;A
230;74;2;B
231;74;2;C
232;74;3;A
233;74;3;B
234;74;4;A
235;74;4;B
236;74;5;A
237;74;5;B
238;74;5;C
239;74;6;A
240;74;6;B
241;74;7;A
242;74;7;B
243;74;8;A
244;74;8;B
245;74;8;C
246;74;9;A
247;74;9;B
248;74;9;C
249;74;10;A
250;74;10;B
251;74;10;C
252;74;11;A
253;74;11;B
254;74;11;C
255;111;1;A
256;111;1;B
257;111;2;A
258;111;2;B
259;111;2;C
260;111;3;A
261;111;3;B
262;111;4;A
263;111;4;B
264;111;4;C
265;111;5;A
266;111;5;B
267;111;5;C
268;111;6;A
269;111;6;B
270;111;7;A
271;111;7;B
272;111;8;A
273;111;8;B
274;111;9;A
275;111;10;A
276;111;10;B
277;111;10;C
278;111;11;A
279;111;11;B
280;111;11;C
281;153;1;A
282;153;1;B
283;153;1;C
284;153;2;A
285;153;2;B
286;153;2;C
287;153;3;A
288;153;3;B
289;153;3;C
290;153;4;A
291;153;4;B
292;153;4;C
293;153;5;A
294;153;5;B
295;153;5;C
296;153;6;A
297;153;7;A
298;153;7;B
299;153;8;A
300;153;9;A
301;153;9;B
302;153;9;C
303;153;10;A
304;153;10;B
305;153;10;C
306;153;11;A
307;153;11;B
308;55;1;A
309;55;1;B
310;55;2;A
311;55;2;B
312;55;2;C
313;55;3;A
314;55;3;B
315;55;4;A
316;55;5;A
317;55;5;B
318;55;6;A
319;55;6;B
320;55;7;A
321;55;8;A
322;55;9;A
323;55;9;B
324;55;9;C
325;55;10;A
326;55;11;A
327;55;11;B
328;427;1;A
329;427;2;A
330;427;2;B
331;427;2;C
332;427;3;A
333;427;3;B
334;427;3;C
335;427;4;A
336;427;5;A
337;427;5;B
338;427;6;A
339;427;7;A
340;427;8;A
341;427;8;B
342;427;9;A
343;427;10;A
344;427;10;B
345;427;10;C
346;427;11;A
347;427;11;B
348;427;11;C
349;436;1;A
350;436;1;B
351;436;2;A
352;436;2;B
353;436;2;C
354;436;3;A
355;436;4;A
356;436;4;B
357;436;5;A
358;436;5;B
359;436;6;A
360;436;6;B
361;436;7;A
362;436;7;B
363;436;7;C
364;436;8;A
365;436;9;A
366;436;9;B
367;436;9;C
368;436;10;A
369;436;10;B
370;436;11;A
371;903;1;A
372;903;1;B
373;903;2;A
374;903;3;A
375;903;3;B
376;903;3;C
377;903;4;A
378;903;4;B
379;903;5;A
380;903;5;B
381;903;5;C
